date,type,entry_time,entry_price,sl,tp,status,trailing_active,exit_time,exit_price,reason,pnl,pnl_pct
2020-04-16,buy,2020-04-16 04:00:00,6677.0618625,6477.0618625,7377.0618625,closed,True,2020-04-16 13:40:00,7032.235000000001,TimeExit,355.17313750000085,5.319302783380508
2020-04-17,sell,2020-04-17 04:00:00,7047.274600000001,7247.274600000001,6347.274600000001,closed,True,2020-04-17 13:40:00,7043.75,TimeExit,3.524600000000646,0.050038686779063646
2020-04-18,buy,2020-04-18 05:25:00,7120.49847,6920.49847,7820.49847,closed,True,2020-04-18 13:40:00,7178.46,TimeExit,57.961529999999584,0.8140094439202938
2020-04-19,sell,2020-04-19 05:05:00,7223.08665,7423.08665,6523.08665,closed,True,2020-04-19 13:40:00,7108.715,TimeExit,114.37165000000005,1.608893449800708
2020-04-20,buy,2020-04-20 04:00:00,7200.5534775,6900.5534775,7900.5534775,closed,False,2020-04-20 13:40:00,7038.865,TimeExit,-161.68847749999986,-2.245500682763313
2020-04-21,sell,2020-04-21 04:20:00,6844.521027500001,7044.521027500001,6144.521027500001,closed,True,2020-04-21 13:40:00,6794.21,TimeExit,50.31102750000082,0.7404985642186723
2020-04-22,sell,2020-04-22 04:00:00,6853.2866425,7153.2866425,6153.2866425,closed,False,2020-04-22 13:40:00,7069.075,TimeExit,-215.78835749999962,-3.0525685114389023
2020-04-23,sell,2020-04-23 04:00:00,7115.735352500001,7315.735352500001,6415.735352500001,closed,True,2020-04-23 13:40:00,7224.860000000001,TimeExit,-109.12464749999981,-1.5104050113081802
2020-04-24,sell,2020-04-24 04:25:00,7501.98713,7701.98713,6801.98713,closed,True,2020-04-24 13:40:00,7495.69,TimeExit,6.297130000000834,0.08401001108637729
2020-04-25,buy,2020-04-25 04:55:00,7528.232234999999,7328.232234999999,8228.232235,closed,True,2020-04-25 13:40:00,7569.3550000000005,TimeExit,41.12276500000189,0.5462472957305398
2020-04-26,sell,2020-04-26 04:15:00,7549.2235,7849.2235,6849.2235,closed,False,2020-04-26 13:40:00,7677.945,TimeExit,-128.72149999999965,-1.676509795264225
2020-04-27,sell,2020-04-27 04:05:00,7720.97758,7920.97758,7020.97758,closed,True,2020-04-27 13:40:00,7680.61,TimeExit,40.36758000000009,0.5255777861393751
2020-04-28,sell,2020-04-28 04:05:00,7679.938110000001,7879.938110000001,6979.938110000001,closed,True,2020-04-28 13:40:00,7750.17,TimeExit,-70.23188999999911,-0.9061980575909789
2020-04-29,buy,2020-04-29 04:55:00,7843.2146475,7643.2146475,8543.2146475,closed,True,2020-04-29 13:40:00,8279.5,TimeExit,436.28535250000004,5.562583355270845
2020-04-30,buy,2020-04-30 05:30:00,9276.500932500001,9076.500932500001,9976.500932500001,closed,True,2020-04-30 07:20:00,9076.500932500001,TSL HIT,-200.0,-2.1559853381710403
2020-05-01,buy,2020-05-01 04:40:00,8745.755692499999,8545.755692499999,9445.755692499999,closed,True,2020-05-01 13:40:00,8824.23,TimeExit,78.47430750000058,0.8972844687086035
2020-05-02,sell,2020-05-02 05:25:00,8794.0657675,9094.0657675,8094.0657675,closed,False,2020-05-02 13:40:00,8888.36,TimeExit,-94.29423250000036,-1.060873237582638
2020-05-03,sell,2020-05-03 06:00:00,9076.9142725,9276.9142725,8376.9142725,closed,True,2020-05-03 13:40:00,8914.84,TimeExit,162.0742725,1.8180278333654876
2020-05-04,sell,2020-05-04 04:15:00,8694.99033,8894.99033,7994.9903300000005,closed,True,2020-05-04 13:40:00,8753.984999999999,TimeExit,-58.99466999999822,-0.6739178785432953
